playerId,name,tmPlayerId,tmUrl,birthDate,age,nationalities,mainPosition,positionGroup,clubName,tmClubId,competition,portraitPresent,marketValue,contractExpires,preferredFoot,profileLastSyncedAt,performancePresent,opportunityPresent,identitySignals,identityQuality
"cmtr671js00k333yne2l4ultx","Alexander Susnjar","seed:UZ1-2026-LOKOMOTI-017","seed://uz1/UZ1-2026-LOKOMOTI-017","1995-08-19","","[]","Centre-Back","DF","","","","false","300000","2026-12-31","UNKNOWN","","false","true","2","PARTIAL"
"cmtr671cw005933ynjm2jzf0c","Jakhongir Urozov","seed:UZ1-2026-DINAMOSA-004","seed://uz1/UZ1-2026-DINAMOSA-004","2004-01-18","","[]","Centre-Back","DF","","","","false","","","UNKNOWN","","false","true","2","PARTIAL"
"cmtr671hk00e533ynv6xqjz6z","Sardor Sabirkhodjaev","seed:UZ1-2026-PAKHTAKO-017","seed://uz1/UZ1-2026-PAKHTAKO-017","1994-11-06","","[]","Defensive Midfield","MF","","","","false","","","UNKNOWN","","false","true","2","PARTIAL"
"cmtr671ei008x33ynh9ifx3st","Umarbek Eshmuradov","seed:UZ1-2026-NASAFQAR-017","seed://uz1/UZ1-2026-NASAFQAR-017","1992-11-30","","[]","Centre-Back","DF","","","","false","450000","2026-12-31","UNKNOWN","","false","true","2","PARTIAL"
"cmtr671hs00ep33ynrw3x3k3e","Abbos Ergashboev","seed:UZ1-2026-PAKHTAKO-028","seed://uz1/UZ1-2026-PAKHTAKO-028","","","[]","UNKNOWN","FW","","","","false","","","UNKNOWN","","false","true","1","WEAK"
"cmtr671dv007933yneay5fec0","Abbos Shodmonov","seed:UZ1-2026-MASHALMU-011","seed://uz1/UZ1-2026-MASHALMU-011","","","[]","UNKNOWN","MF","","","","false","","","UNKNOWN","","false","true","1","WEAK"
"cmtr671k900lh33yn40rk5jdn","Abdul Aziz Yusupov","seed:UZ1-2026-LOKOMOTI-043","seed://uz1/UZ1-2026-LOKOMOTI-043","","","[]","UNKNOWN","FW","","","","false","","","UNKNOWN","","false","true","1","WEAK"
"cmtr671eb008f33yn7koxxljv","Adkhamjon Musulmonov","seed:UZ1-2026-NASAFQAR-007","seed://uz1/UZ1-2026-NASAFQAR-007","","","[]","Goalkeeper","GK","","","","false","","","UNKNOWN","","false","true","1","WEAK"
"cmtr671d0005j33yn9vkh4as2","Akbar Abdirasulov","seed:UZ1-2026-DINAMOSA-009","seed://uz1/UZ1-2026-DINAMOSA-009","","","[]","UNKNOWN","DF","","","","false","","","UNKNOWN","","false","true","1","WEAK"
"cmtr671ay001p33yneg7h3wrw","Akmal Holmatov","seed:UZ1-2026-ANDIJON-004","seed://uz1/UZ1-2026-ANDIJON-004","","","[]","UNKNOWN","MF","","","","false","","","UNKNOWN","","false","true","1","WEAK"
