playerId,currentName,tmPlayerId,tmUrl,careerStatus,confirmedFreeAgent,currentClub,currentClubTmId,currentCompetition,currentCompetitionTmId,mainPosition,positionGroup,birthDate,age,nationalities,marketValueEur,contractExpires,portraitPresent,preferredFoot,representationStatus,seedKey,sourceName,sourceClub,sourcePosition,sourceSeason,sourceUrl,canonicalName,resolvedTmPlayerId,resolvedTmProfileUrl,researchStatus,confidence,evidenceNote,alternativeCandidates,suggestedAction
cmtr671h200d733ynwws0lxno,Amirbek Berdiyev,seed:UZ1-2026-NEFTCHIF-033,seed://uz1/UZ1-2026-NEFTCHIF-033,UNKNOWN,False,,,,,UNKNOWN,FW,,,[],,,False,UNKNOWN,UNKNOWN,UZ1-2026-NEFTCHIF-033,Amirbek Berdiyev,Neftchi Fergana,FW,2026,,Amirbek Berdiyev,,,IDENTITY_VERIFIED_NO_TM_ID,HIGH,"Official Neftchi: #36 forward; identity clear, no safe numeric TM ID surfaced.",,KEEP_SEED_OR_STORE_EXTERNAL_IDENTITY; DO_NOT_INVENT_TM_ID
cmtr671gy00d133ynvzwubv9m,Asilbek To'xtasinov,seed:UZ1-2026-NEFTCHIF-028,seed://uz1/UZ1-2026-NEFTCHIF-028,UNKNOWN,False,,,,,UNKNOWN,MF,,,[],,,False,UNKNOWN,UNKNOWN,UZ1-2026-NEFTCHIF-028,Asilbek To'xtasinov,Neftchi Fergana,MF,2026,,Asilbek To'xtasinov,,,IDENTITY_VERIFIED_NO_TM_ID,HIGH,"Official Neftchi/PFL: #79 midfielder, DOB 22/08/2007, active 2026; no safe numeric TM ID surfaced.",,KEEP_SEED_OR_STORE_EXTERNAL_IDENTITY; DO_NOT_INVENT_TM_ID
cmtr671gr00cp33yngs7q8exv,Husanboy Umirzoqov,seed:UZ1-2026-NEFTCHIF-020,seed://uz1/UZ1-2026-NEFTCHIF-020,UNKNOWN,False,,,,,UNKNOWN,MF,,,[],,,False,UNKNOWN,UNKNOWN,UZ1-2026-NEFTCHIF-020,Husanboy Umirzoqov,Neftchi Fergana,MF,2026,,Husanboy Umirzoqov,,,IDENTITY_VERIFIED_NO_TM_ID,HIGH,"PFL: Neftchi, DOB 24/12/2005; distinct from Hasanboy Umirzoqov; no safe numeric TM ID surfaced.",,KEEP_SEED_OR_STORE_EXTERNAL_IDENTITY; DO_NOT_INVENT_TM_ID
cmtr671jn00jn33yn1h60rrej,Jahongir Hoshimboyev,seed:UZ1-2026-LOKOMOTI-009,seed://uz1/UZ1-2026-LOKOMOTI-009,UNKNOWN,False,,,,,Goalkeeper,GK,,,[],,,False,UNKNOWN,UNKNOWN,UZ1-2026-LOKOMOTI-009,Jahongir Hoshimboyev,Lokomotiv Tashkent,GK,2026,,Jahongir Hoshimboyev,,,IDENTITY_VERIFIED_NO_TM_ID,HIGH,"PFL/Sofascore: Lokomotiv #23, DOB 22/03/2006, midfielder. Seed GK position is wrong; no safe numeric TM ID surfaced.",,KEEP_SEED_OR_STORE_EXTERNAL_IDENTITY; DO_NOT_INVENT_TM_ID
cmtr671gh00cf33yng70ue6xm,Mirjalol Abdurahimov,seed:UZ1-2026-NEFTCHIF-009,seed://uz1/UZ1-2026-NEFTCHIF-009,UNKNOWN,False,,,,,UNKNOWN,DF,,,[],,,False,UNKNOWN,UNKNOWN,UZ1-2026-NEFTCHIF-009,Mirjalol Abdurahimov,Neftchi Fergana,DF,2026,,Mirjalol Abdurahimov,,,IDENTITY_VERIFIED_NO_TM_ID,HIGH,"PFL/official Neftchi: #97 defender, DOB 16/05/2006; no safe numeric TM ID surfaced.",,KEEP_SEED_OR_STORE_EXTERNAL_IDENTITY; DO_NOT_INVENT_TM_ID
cmtr671kl00mb33yny139prou,Mukhammadzhon Razhabboev,seed:UZ1-2026-XORAZMUR-008,seed://uz1/UZ1-2026-XORAZMUR-008,UNKNOWN,False,,,,,UNKNOWN,FW,,,[],,,False,UNKNOWN,UNKNOWN,UZ1-2026-XORAZMUR-008,Mukhammadzhon Razhabboev,Xorazm Urganch,FW,2026,,Mukhammadzhon Razhabboev,,,IDENTITY_VERIFIED_NO_TM_ID,HIGH,"Identity appears in Transfermarkt Xorazm history (#40), but numeric ID not exposed by search; historical TM status conflicts with current 2026 evidence.",,KEEP_SEED_OR_STORE_EXTERNAL_IDENTITY; DO_NOT_INVENT_TM_ID
cmtr671gv00ct33yn6sbcdgr6,Yahyo To'xtashev,seed:UZ1-2026-NEFTCHIF-024,seed://uz1/UZ1-2026-NEFTCHIF-024,UNKNOWN,False,,,,,UNKNOWN,MF,,,[],,,False,UNKNOWN,UNKNOWN,UZ1-2026-NEFTCHIF-024,Yahyo To'xtashev,Neftchi Fergana,MF,2026,,Yahyo To'xtashev,,,IDENTITY_VERIFIED_NO_TM_ID,HIGH,"Official Neftchi: #43 midfielder, active 2026; no safe numeric TM ID surfaced.",,KEEP_SEED_OR_STORE_EXTERNAL_IDENTITY; DO_NOT_INVENT_TM_ID
cmtr671h300d933ynciawl3l0,Yahyo Zuhriddinov,seed:UZ1-2026-NEFTCHIF-034,seed://uz1/UZ1-2026-NEFTCHIF-034,UNKNOWN,False,,,,,UNKNOWN,FW,,,[],,,False,UNKNOWN,UNKNOWN,UZ1-2026-NEFTCHIF-034,Yahyo Zuhriddinov,Neftchi Fergana,FW,2026,,Yahyo Zuhriddinov,,,IDENTITY_VERIFIED_NO_TM_ID,HIGH,"PFL/official records: forward DOB 13/08/2008; identity clear, current-team source conflict (Sementchi/Neftchi); no safe numeric TM ID surfaced.",,KEEP_SEED_OR_STORE_EXTERNAL_IDENTITY; DO_NOT_INVENT_TM_ID
cmtr671gt00cr33ynjju6fciu,Yahyoxon Isaqov,seed:UZ1-2026-NEFTCHIF-022,seed://uz1/UZ1-2026-NEFTCHIF-022,UNKNOWN,False,,,,,UNKNOWN,MF,,,[],,,False,UNKNOWN,UNKNOWN,UZ1-2026-NEFTCHIF-022,Yahyoxon Isaqov,Neftchi Fergana,MF,2026,,Yahyoxon Isaqov,,,IDENTITY_VERIFIED_NO_TM_ID,HIGH,"PFL/official Neftchi: #29 midfielder DOB 15/05/2007, active 2026; no safe numeric TM ID surfaced.",,KEEP_SEED_OR_STORE_EXTERNAL_IDENTITY; DO_NOT_INVENT_TM_ID
cmtr671k000kp33ynsxssn6nw,Zhasur Khasanov,seed:UZ1-2026-LOKOMOTI-029,seed://uz1/UZ1-2026-LOKOMOTI-029,UNKNOWN,False,,,,,UNKNOWN,MF,,,[],,,False,UNKNOWN,UNKNOWN,UZ1-2026-LOKOMOTI-029,Zhasur Khasanov,Lokomotiv Tashkent,MF,2026,,Zhasur Khasanov,,,AMBIGUOUS_MULTIPLE_TM,AMBIGUOUS,"Two plausible TM players fit name + Lokomotiv + midfield context: 127745 (DOB 24/07/1989, right midfield) and 88730 (DOB 02/08/1983, attacking midfield). Seed has no DOB/age, so no safe choice.",127745;88730,MANUAL_DISAMBIGUATION_REQUIRED
