playerId,currentName,tmPlayerId,tmUrl,careerStatus,confirmedFreeAgent,currentClub,currentClubTmId,currentCompetition,currentCompetitionTmId,mainPosition,positionGroup,birthDate,age,nationalities,marketValueEur,contractExpires,portraitPresent,preferredFoot,representationStatus,seedKey,sourceName,sourceClub,sourcePosition,sourceSeason,sourceUrl,canonicalName,resolvedTmPlayerId,resolvedTmProfileUrl,researchStatus,confidence,evidenceNote,alternativeCandidates,suggestedAction
cmtr671ay001p33yneg7h3wrw,Akmal Holmatov,seed:UZ1-2026-ANDIJON-004,seed://uz1/UZ1-2026-ANDIJON-004,UNKNOWN,False,,,,,UNKNOWN,MF,,,[],,,False,UNKNOWN,UNKNOWN,UZ1-2026-ANDIJON-004,Akmal Holmatov,Andijon,MF,2026,,Akmal Kholmatov,71238,https://www.transfermarkt.com/-/profil/spieler/71238,TM_ID_VERIFIED,HIGH,Transliteration; numeric TM identity verified.,,SAFE_IDENTITY_RESOLUTION
cmtr671dz007j33yn9dwqxmb1,Akram Bahriddinov,seed:UZ1-2026-MASHALMU-016,seed://uz1/UZ1-2026-MASHALMU-016,UNKNOWN,False,,,,,UNKNOWN,MF,,,[],,,False,UNKNOWN,UNKNOWN,UZ1-2026-MASHALMU-016,Akram Bahriddinov,Mashal Muborak,MF,2026,,Akramzhon Bakhritdinov,325518,https://www.transfermarkt.com/-/profil/spieler/325518,TM_ID_VERIFIED,HIGH,Expanded/transliterated name; numeric TM identity verified.,,SAFE_IDENTITY_RESOLUTION
cmtr671fi00av33yncopit85p,Alijon Alijonov,seed:UZ1-2026-NAVBAHOR-012,seed://uz1/UZ1-2026-NAVBAHOR-012,UNKNOWN,False,,,,,UNKNOWN,DF,,,[],,,False,UNKNOWN,UNKNOWN,UZ1-2026-NAVBAHOR-012,Alijon Alijonov,Navbahor Namangan,DF,2026,,Alizhon Alizhonov,869113,https://www.transfermarkt.com/-/profil/spieler/869113,TM_ID_VERIFIED,HIGH,Simple transliteration; numeric TM identity verified.,,SAFE_IDENTITY_RESOLUTION
cmtr671ka00ll33yn173dbbgk,Alisher Shogulyamov,seed:UZ1-2026-LOKOMOTI-045,seed://uz1/UZ1-2026-LOKOMOTI-045,UNKNOWN,False,,,,,UNKNOWN,FW,,,[],,,False,UNKNOWN,UNKNOWN,UZ1-2026-LOKOMOTI-045,Alisher Shogulyamov,Lokomotiv Tashkent,FW,2026,,Alisher Shogulomov,216984,https://www.transfermarkt.com/-/profil/spieler/216984,TM_ID_VERIFIED,HIGH,Player identity verified; distinguished from similarly named staff.,,SAFE_IDENTITY_RESOLUTION
cmtr671h200d733ynwws0lxno,Amirbek Berdiyev,seed:UZ1-2026-NEFTCHIF-033,seed://uz1/UZ1-2026-NEFTCHIF-033,UNKNOWN,False,,,,,UNKNOWN,FW,,,[],,,False,UNKNOWN,UNKNOWN,UZ1-2026-NEFTCHIF-033,Amirbek Berdiyev,Neftchi Fergana,FW,2026,,Amirbek Berdiyev,,,IDENTITY_VERIFIED_NO_TM_ID,HIGH,"Official Neftchi: #36 forward; identity clear, no safe numeric TM ID surfaced.",,KEEP_SEED_OR_STORE_EXTERNAL_IDENTITY; DO_NOT_INVENT_TM_ID
cmtr671am001733yn3hx8qd0r,Asadbek Akhmadjonov,seed:UZ1-2026-AGMK-022,seed://uz1/UZ1-2026-AGMK-022,UNKNOWN,False,,,,,UNKNOWN,MF,,,[],,,False,UNKNOWN,UNKNOWN,UZ1-2026-AGMK-022,Asadbek Akhmadjonov,AGMK,MF,2026,,Asadbek Akhmadjonov,1196822,https://www.transfermarkt.com/-/profil/spieler/1196822,TM_ID_VERIFIED,HIGH,Verified in the prior web pass / user-verified mapping.,,SAFE_IDENTITY_RESOLUTION
cmtr671ai000x33ynst0hhr5x,Asadbek Sobirjonov,seed:UZ1-2026-AGMK-017,seed://uz1/UZ1-2026-AGMK-017,UNKNOWN,False,,,,,UNKNOWN,MF,,,[],,,False,UNKNOWN,UNKNOWN,UZ1-2026-AGMK-017,Asadbek Sobirjonov,AGMK,MF,2026,,Asad Sobirzhonov,658827,https://www.transfermarkt.com/-/profil/spieler/658827,TM_ID_VERIFIED,HIGH,Name variant; numeric TM identity verified.,,SAFE_IDENTITY_RESOLUTION
cmtr671e4007x33yndrigf5ex,Asilbek Obidov,seed:UZ1-2026-MASHALMU-024,seed://uz1/UZ1-2026-MASHALMU-024,UNKNOWN,False,,,,,UNKNOWN,FW,,,[],,,False,UNKNOWN,UNKNOWN,UZ1-2026-MASHALMU-024,Asilbek Obidov,Mashal Muborak,FW,2026,,Asilbek Obidov,660950,https://www.transfermarkt.com/-/profil/spieler/660950,TM_ID_VERIFIED,HIGH,Verified in the prior web pass / user-verified mapping.,,SAFE_IDENTITY_RESOLUTION
cmtr671gy00d133ynvzwubv9m,Asilbek To'xtasinov,seed:UZ1-2026-NEFTCHIF-028,seed://uz1/UZ1-2026-NEFTCHIF-028,UNKNOWN,False,,,,,UNKNOWN,MF,,,[],,,False,UNKNOWN,UNKNOWN,UZ1-2026-NEFTCHIF-028,Asilbek To'xtasinov,Neftchi Fergana,MF,2026,,Asilbek To'xtasinov,,,IDENTITY_VERIFIED_NO_TM_ID,HIGH,"Official Neftchi/PFL: #79 midfielder, DOB 22/08/2007, active 2026; no safe numeric TM ID surfaced.",,KEEP_SEED_OR_STORE_EXTERNAL_IDENTITY; DO_NOT_INVENT_TM_ID
cmtr671er009j33yngr4gawia,Asliddin Tursunpulatov,seed:UZ1-2026-NASAFQAR-028,seed://uz1/UZ1-2026-NASAFQAR-028,UNKNOWN,False,,,,,UNKNOWN,MF,,,[],,,False,UNKNOWN,UNKNOWN,UZ1-2026-NASAFQAR-028,Asliddin Tursunpulatov,Nasaf Qarshi,MF,2026,,Asliddin Tursunpulatov,989067,https://www.transfermarkt.com/-/profil/spieler/989067,TM_ID_VERIFIED,HIGH,Verified in the prior web pass / user-verified mapping.,,SAFE_IDENTITY_RESOLUTION
